#OPC SN:212
#-----------
#firmware:4.0
#mfg_date:7/7/23
#UAV Reader:8.1.0 - DASH
#
#flow setpoints
#--------------
#sample_sp:0.06
#sheath_sp:0.60
#
#calibration
#-----------
#sample_c2:-15139.2
#sample_c1:1645.5
#sample_c0:-1755.8
#sheath_c2:-10924.8
#sheath_c1:1726.6
#sheath_c0:-263.0
#cal_temp:26.1
#press_slop:3778.8
#press_offs:-111.1
#pmt_base_cal:2300
#
#digital pots
#------------
#pmt_gain_pot:53
#lsr_brt_pot:-99999
#lsr_gain_pot:105
#pmt_base_pot:84
#
#pulse calib
#-----------
#cal_hg1:150,336
#cal_hg2:155,434
#cal_hg3:160,551
#cal_hg4:170,815
#cal_hg5:180,1118
#cal_hg6:190,1444
#cal_hg7:200,1808
#cal_hg8:220,2613
#cal_hg9:240,3434
#cal_hg10:260,4251
#cal_hg11:280,4624
#cal_hg12:300,4965
#cal_hg13:325,5489
#cal_hg14:350,6796
#cal_hg15:375,7578
#cal_hg16:400,8156
#cal_hg17:450,11281
#cal_hg18:550,16383
#cal_hg19:550,16383
#cal_hg20:550,16383
#xover_bin:51
#cal_lg1:375,907
#cal_lg2:400,1001
#cal_lg3:500,2337
#cal_lg4:700,3181
#cal_lg5:950,4315
#cal_lg6:1250,5834
#cal_lg7:1600,8768
#cal_lg8:2000,12119
#cal_lg9:3100,16383
#cal_lg10:3100,16383
#
#bin_limits=	155.0	158.1	161.2	164.5	167.7	171.1	174.5	178.0	181.5	185.2	188.8	192.6	196.5	200.4	204.4	208.4	212.6	216.8	221.2	225.6	230.1	234.7	239.4	244.1	249.0	254.0	259.0	264.2	269.5	274.8	280.3	285.9	291.6	297.4	303.4	309.4	315.6	321.9	328.3	334.9	341.5	348.4	355.3	362.4	369.6	377.0	384.5	392.2	400.0	408.8	420.7	437.7	461.3	492.6	532.4	580.7	637.5	702.3	773.7	852.3	939.0	1034.4	1139.5	1255.3	1382.9	1523.5	1678.3	1848.9	2036.9	2243.9	2472.0	2723.2	3000.0
#
#YY/MM/DD	HR:MN:SC	samp_intrvl	total_conc	sample_flw	sheath_flw	sheath_temp	samp_press	lasr_brt	lasr_cur	pmt_base_rd	pmt_base_pot_adj	sheath_pwr	exit_pwr	opc_errs	bin1	bin2	bin3	bin4	bin5	bin6	bin7	bin8	bin9	bin10	bin11	bin12	bin13	bin14	bin15	bin16	bin17	bin18	bin19	bin20	bin21	bin22	bin23	bin24	bin25	bin26	bin27	bin28	bin29	bin30	bin31	bin32	bin33	bin34	bin35	bin36	bin37	bin38	bin39	bin40	bin41	bin42	bin43	bin44	bin45	bin46	bin47	bin48	bin49	bin50	bin51	bin52	bin53	bin54	bin55	bin56	bin57	bin58	bin59	bin60	bin61	bin62	bin63	bin64	bin65	bin66	bin67	bin68	bin69	bin70	bin71	bin72	sd_save	sd_install
24/04/04	08:39:54	1	8.2	0.058	0.74	17.8	950	2623	3048	2319	84	0	114	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:39:55	1	17.7	0.058	0.74	17.8	949	2623	3048	2319	84	0	116	0	0	0	0	0	0	0	0	0	1	0	0	4	2	2	0	0	0	0	1	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:39:56	1	8.2	0.059	0.74	17.8	949	2623	3048	2319	84	0	117	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:39:57	1	5.9	0.061	0.74	17.8	948	2623	3048	2319	84	0	115	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:39:58	1	7.6	0.063	0.74	17.8	948	2623	3048	2319	84	0	113	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:39:59	1	7.4	0.065	0.73	17.8	948	2623	3048	2319	84	0	111	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:00	1	11.9	0.066	0.73	17.8	947	2623	3048	2319	84	0	109	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	2	0	1	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:01	1	6.4	0.065	0.73	17.8	947	2623	3048	2319	84	0	107	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:02	1	5.6	0.064	0.73	17.8	947	2623	3048	2319	84	0	105	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:03	1	8.5	0.063	0.73	17.8	947	2623	3048	2319	84	0	103	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:04	1	8.5	0.063	0.73	17.8	947	2623	3049	2319	84	0	101	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:05	1	16.4	0.062	0.73	17.8	946	2623	3049	2319	84	0	100	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	2	0	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:06	1	7.9	0.060	0.73	17.8	946	2623	3049	2319	84	0	100	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:07	1	6.1	0.059	0.73	17.8	946	2623	3049	2319	84	0	102	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:08	1	17.2	0.059	0.73	17.8	945	2623	3049	2319	84	0	102	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:09	1	11.7	0.062	0.73	17.8	945	2623	3049	2319	84	0	100	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:10	1	13.0	0.065	0.73	17.8	944	2623	3049	2319	84	0	98	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	1	1	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:11	1	13.2	0.068	0.72	17.8	944	2623	3049	2319	84	0	96	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	1	0	0	0	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:12	1	11.7	0.072	0.72	17.8	944	2623	3049	2319	84	0	94	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:13	1	9.0	0.073	0.71	17.8	943	2623	3049	2319	84	0	92	0	0	0	0	0	0	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:14	1	13.7	0.074	0.71	17.8	943	2623	3049	2319	84	0	90	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	2	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:15	1	11.2	0.075	0.71	17.8	942	2623	3049	2319	84	0	88	0	0	0	0	0	0	0	0	1	0	0	0	5	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:16	1	11.2	0.075	0.71	17.8	942	2623	3050	2319	84	0	86	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:17	1	8.8	0.075	0.71	17.8	942	2623	3050	2319	84	0	84	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:18	1	8.9	0.074	0.71	17.8	942	2623	3050	2320	84	0	82	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:19	1	5.7	0.073	0.71	17.9	941	2623	3050	2320	84	0	80	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:20	1	10.0	0.072	0.71	17.9	941	2623	3050	2320	84	0	78	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:21	1	9.4	0.070	0.71	17.9	941	2624	3050	2320	84	0	76	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:22	1	12.2	0.069	0.71	17.9	941	2623	3050	2320	84	0	74	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	0	1	1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:23	1	5.3	0.067	0.71	17.9	941	2623	3050	2320	84	0	72	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:24	1	7.3	0.066	0.71	17.9	941	2623	3050	2320	84	0	70	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:25	1	6.5	0.065	0.71	17.9	941	2623	3050	2320	84	0	68	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:26	1	8.4	0.064	0.71	17.9	941	2623	3050	2320	84	0	66	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:27	1	7.6	0.063	0.71	17.9	941	2624	3051	2320	84	0	64	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:28	1	16.1	0.063	0.71	17.9	941	2623	3051	2320	84	0	62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	2	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:29	1	10.5	0.063	0.71	17.9	940	2623	3051	2320	84	0	60	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:30	1	9.5	0.063	0.71	17.9	940	2623	3051	2320	84	0	58	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:31	1	5.7	0.063	0.71	17.9	940	2623	3051	2320	84	0	56	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:32	1	9.5	0.063	0.71	17.9	940	2623	3051	2320	84	0	54	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:33	1	13.4	0.063	0.71	17.9	939	2623	3051	2320	84	0	52	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:34	1	14.3	0.063	0.71	17.9	939	2624	3051	2320	84	0	50	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:35	1	12.4	0.063	0.71	17.9	939	2624	3052	2320	84	0	48	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:36	1	11.6	0.062	0.71	17.9	939	2624	3052	2320	84	0	46	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:37	1	9.7	0.062	0.71	17.9	939	2623	3052	2320	84	0	44	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:38	1	9.7	0.062	0.71	17.9	939	2623	3052	2320	84	0	42	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
24/04/04	08:40:39	1	13.7	0.061	0.71	17.9	939	2623	3052	2320	84	0	40	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
